File Name,Average Response Time,Request Type,Frequency,Size,Power,isPiggy
order_high_large_grpc1,9.88115339,1,2,2,2790.0,0
order_high_large_grpc10,11.32814254,1,2,2,3060.0,0
order_high_large_grpc2,8.607231407,1,2,2,2640.0,0
order_high_large_grpc3,8.944480338,1,2,2,2730.0,0
order_high_large_grpc4,9.149037764,1,2,2,2790.0,0
order_high_large_grpc5,9.433013847,1,2,2,2760.0,0
order_high_large_grpc6,9.756890152,1,2,2,2745.0,0
order_high_large_grpc7,10.66317037,1,2,2,2760.0,0
order_high_large_grpc8,9.967386478,1,2,2,2850.0,0
order_high_large_grpc9,9.916287723,1,2,2,2910.0,0
order_high_medium_grpc1,7.77195452,1,2,1,2655.0,0
order_high_medium_grpc10,6.854173604,1,2,1,2925.0,0
order_high_medium_grpc2,5.970528429,1,2,1,2640.0,0
order_high_medium_grpc3,6.28276085,1,2,1,2640.0,0
order_high_medium_grpc4,6.379501414,1,2,1,2745.0,0
order_high_medium_grpc5,5.708396214,1,2,1,2730.0,0
order_high_medium_grpc6,7.080884654,1,2,1,2730.0,0
order_high_medium_grpc7,6.49254427,1,2,1,2775.0,0
order_high_medium_grpc8,6.705412117,1,2,1,2865.0,0
order_high_medium_grpc9,7.421403009,1,2,1,2835.0,0
order_high_small_grpc1,8.665291819,1,2,0,2715.0,0
order_high_small_grpc10,6.296598786,1,2,0,2865.0,0
order_high_small_grpc2,6.722642341,1,2,0,2640.0,0
order_high_small_grpc3,6.58288044,1,2,0,2670.0,0
order_high_small_grpc4,6.055511243,1,2,0,2745.0,0
order_high_small_grpc5,7.585160289,1,2,0,2730.0,0
order_high_small_grpc6,6.572660378,1,2,0,2760.0,0
order_high_small_grpc7,5.914113625,1,2,0,2760.0,0
order_high_small_grpc8,6.548587039,1,2,0,2805.0,0
order_high_small_grpc9,7.155526967,1,2,0,2835.0,0
order_low_large_grpc1,12.75726507,1,0,2,2385.0,0
order_low_large_grpc10,12.70557585,1,0,2,2430.0,0
order_low_large_grpc2,10.13349402,1,0,2,2385.0,0
order_low_large_grpc3,7.954632725,1,0,2,2385.0,0
order_low_large_grpc4,10.6257502,1,0,2,2385.0,0
order_low_large_grpc5,9.685574201,1,0,2,2370.0,0
order_low_large_grpc6,12.74647869,1,0,2,2385.0,0
order_low_large_grpc7,12.37334778,1,0,2,2385.0,0
order_low_large_grpc8,12.39708347,1,0,2,2385.0,0
order_low_large_grpc9,12.12314507,1,0,2,2400.0,0
order_low_medium_grpc1,10.73528524,1,0,1,2385.0,0
order_low_medium_grpc10,8.263306576,1,0,1,2400.0,0
order_low_medium_grpc2,6.162185287,1,0,1,2400.0,0
order_low_medium_grpc3,7.674463515,1,0,1,2370.0,0
order_low_medium_grpc4,8.608468765,1,0,1,2385.0,0
order_low_medium_grpc5,10.97932503,1,0,1,2370.0,0
order_low_medium_grpc6,8.537390597,1,0,1,2385.0,0
order_low_medium_grpc7,8.388561386,1,0,1,2385.0,0
order_low_medium_grpc8,7.918163443,1,0,1,2385.0,0
order_low_medium_grpc9,11.6125604,1,0,1,2385.0,0
order_low_small_grpc1,30.17619466,1,0,0,2385.0,0
order_low_small_grpc10,11.04853651,1,0,0,2415.0,0
order_low_small_grpc2,9.742480383,1,0,0,2385.0,0
order_low_small_grpc3,8.457737873,1,0,0,2355.0,0
order_low_small_grpc4,11.95757739,1,0,0,2355.0,0
order_low_small_grpc5,9.175817606,1,0,0,2385.0,0
order_low_small_grpc6,8.736372336,1,0,0,2370.0,0
order_low_small_grpc7,8.346425486,1,0,0,2385.0,0
order_low_small_grpc8,13.98265621,1,0,0,2370.0,0
order_low_small_grpc9,12.74981286,1,0,0,2385.0,0
order_medium_large_grpc1,9.219908174,1,1,2,2475.0,0
order_medium_large_grpc10,10.3530104,1,1,2,2685.0,0
order_medium_large_grpc2,8.528183233,1,1,2,2460.0,0
order_medium_large_grpc3,9.002105505,1,1,2,2475.0,0
order_medium_large_grpc4,8.129722838,1,1,2,2520.0,0
order_medium_large_grpc5,8.474674008,1,1,2,2475.0,0
order_medium_large_grpc6,9.286017769,1,1,2,2505.0,0
order_medium_large_grpc7,8.585338652,1,1,2,2550.0,0
order_medium_large_grpc8,8.572356664,1,1,2,2565.0,0
order_medium_large_grpc9,10.39149595,1,1,2,2625.0,0
order_medium_medium_grpc1,7.846087968,1,1,1,2520.0,0
order_medium_medium_grpc10,6.674809947,1,1,1,2610.0,0
order_medium_medium_grpc2,6.005222987,1,1,1,2445.0,0
order_medium_medium_grpc3,6.438825621,1,1,1,2445.0,0
order_medium_medium_grpc4,6.341873292,1,1,1,2475.0,0
order_medium_medium_grpc5,6.125678532,1,1,1,2460.0,0
order_medium_medium_grpc6,6.122528687,1,1,1,2520.0,0
order_medium_medium_grpc7,6.218469241,1,1,1,2565.0,0
order_medium_medium_grpc8,6.149969841,1,1,1,2520.0,0
order_medium_medium_grpc9,7.442205714,1,1,1,2505.0,0
order_medium_small_grpc1,12.35497059,1,1,0,2490.0,0
order_medium_small_grpc10,6.932592645,1,1,0,2565.0,0
order_medium_small_grpc2,6.491481965,1,1,0,2430.0,0
order_medium_small_grpc3,6.669621579,1,1,0,2460.0,0
order_medium_small_grpc4,6.572029444,1,1,0,2535.0,0
order_medium_small_grpc5,7.505917872,1,1,0,2550.0,0
order_medium_small_grpc6,7.605795958,1,1,0,2565.0,0
order_medium_small_grpc7,6.456419593,1,1,0,2595.0,0
order_medium_small_grpc8,7.880359823,1,1,0,2550.0,0
order_medium_small_grpc9,8.295745975,1,1,0,2580.0,0
order_high_large_rest1,26.62036515,0,2,2,2685.0,0
order_high_large_rest10,19.3359526,0,2,2,2655.0,0
order_high_large_rest2,22.05445339,0,2,2,2595.0,0
order_high_large_rest3,23.32541779,0,2,2,2655.0,0
order_high_large_rest4,22.60230286,0,2,2,2655.0,0
order_high_large_rest5,20.94523272,0,2,2,2580.0,0
order_high_large_rest6,19.83061578,0,2,2,2760.0,0
order_high_large_rest7,20.44559433,0,2,2,2655.0,0
order_high_large_rest8,21.96693292,0,2,2,2685.0,0
order_high_large_rest9,21.1015967,0,2,2,2700.0,0
order_high_medium_rest1,19.14642343,0,2,1,2775.0,0
order_high_medium_rest10,14.27270639,0,2,1,2715.0,0
order_high_medium_rest2,15.76971375,0,2,1,2610.0,0
order_high_medium_rest3,17.91513858,0,2,1,2535.0,0
order_high_medium_rest4,15.66542193,0,2,1,2550.0,0
order_high_medium_rest5,16.05697959,0,2,1,2595.0,0
order_high_medium_rest6,14.64092962,0,2,1,2655.0,0
order_high_medium_rest7,15.70665758,0,2,1,2670.0,0
order_high_medium_rest8,15.42269453,0,2,1,2700.0,0
order_high_medium_rest9,15.12699456,0,2,1,2700.0,0
order_high_small_rest1,20.03250162,0,2,0,2805.0,0
order_high_small_rest10,15.37303985,0,2,0,2685.0,0
order_high_small_rest2,16.58309205,0,2,0,2745.0,0
order_high_small_rest3,16.11620525,0,2,0,2565.0,0
order_high_small_rest4,16.1678704,0,2,0,2580.0,0
order_high_small_rest5,13.93941185,0,2,0,2670.0,0
order_high_small_rest6,14.3410519,0,2,0,2655.0,0
order_high_small_rest7,15.45586751,0,2,0,2640.0,0
order_high_small_rest8,14.95437653,0,2,0,2655.0,0
order_high_small_rest9,15.32604524,0,2,0,2670.0,0
order_low_large_rest1,41.43245274,0,0,2,2430.0,0
order_low_large_rest10,31.80807848,0,0,2,2355.0,0
order_low_large_rest2,28.84185669,0,0,2,2385.0,0
order_low_large_rest3,25.09705286,0,0,2,2325.0,0
order_low_large_rest4,33.22319951,0,0,2,2325.0,0
order_low_large_rest5,21.38360855,0,0,2,2340.0,0
order_low_large_rest6,23.98292888,0,0,2,2355.0,0
order_low_large_rest7,28.03586655,0,0,2,2355.0,0
order_low_large_rest8,31.88714226,0,0,2,2355.0,0
order_low_large_rest9,30.15174309,0,0,2,2355.0,0
order_low_medium_rest1,19.25389455,0,0,1,2355.0,0
order_low_medium_rest10,24.90545774,0,0,1,2355.0,0
order_low_medium_rest2,27.1284791,0,0,1,2370.0,0
order_low_medium_rest3,17.71212283,0,0,1,2355.0,0
order_low_medium_rest4,27.02238024,0,0,1,2385.0,0
order_low_medium_rest5,24.06730314,0,0,1,2355.0,0
order_low_medium_rest6,24.83119084,0,0,1,2355.0,0
order_low_medium_rest7,29.03019112,0,0,1,2325.0,0
order_low_medium_rest8,25.50436519,0,0,1,2325.0,0
order_low_medium_rest9,19.20469182,0,0,1,2340.0,0
order_low_small_rest1,29.7910065,0,0,0,2430.0,0
order_low_small_rest10,25.50267515,0,0,0,2370.0,0
order_low_small_rest2,29.63097106,0,0,0,2370.0,0
order_low_small_rest3,27.75921557,0,0,0,2355.0,0
order_low_small_rest4,23.54602164,0,0,0,2340.0,0
order_low_small_rest5,20.64037665,0,0,0,2325.0,0
order_low_small_rest6,21.80793012,0,0,0,2355.0,0
order_low_small_rest7,25.41006291,0,0,0,2325.0,0
order_low_small_rest8,21.31353731,0,0,0,2370.0,0
order_low_small_rest9,25.16996655,0,0,0,2370.0,0
order_medium_large_rest1,22.8378275,0,1,2,2445.0,0
order_medium_large_rest10,19.78186702,0,1,2,2490.0,0
order_medium_large_rest2,18.95913784,0,1,2,2460.0,0
order_medium_large_rest3,21.41526283,0,1,2,2475.0,0
order_medium_large_rest4,22.9901223,0,1,2,2475.0,0
order_medium_large_rest5,23.10053938,0,1,2,2415.0,0
order_medium_large_rest6,18.98839824,0,1,2,2460.0,0
order_medium_large_rest7,20.7602566,0,1,2,2505.0,0
order_medium_large_rest8,19.79840475,0,1,2,2505.0,0
order_medium_large_rest9,21.7208043,0,1,2,2490.0,0
order_medium_medium_rest1,16.7398725,0,1,1,2475.0,0
order_medium_medium_rest10,16.2553083,0,1,1,2460.0,0
order_medium_medium_rest2,14.97244137,0,1,1,2445.0,0
order_medium_medium_rest3,16.54865048,0,1,1,2415.0,0
order_medium_medium_rest4,13.88645416,0,1,1,2445.0,0
order_medium_medium_rest5,15.55587573,0,1,1,2505.0,0
order_medium_medium_rest6,15.52004296,0,1,1,2475.0,0
order_medium_medium_rest7,16.29876451,0,1,1,2475.0,0
order_medium_medium_rest8,16.93950893,0,1,1,2460.0,0
order_medium_medium_rest9,15.96801199,0,1,1,2520.0,0
order_medium_small_rest1,24.44010425,0,1,0,2535.0,0
order_medium_small_rest10,16.79378754,0,1,0,2535.0,0
order_medium_small_rest2,13.92853071,0,1,0,2460.0,0
order_medium_small_rest3,17.6026291,0,1,0,2415.0,0
order_medium_small_rest4,16.22208618,0,1,0,2445.0,0
order_medium_small_rest5,14.18440365,0,1,0,2505.0,0
order_medium_small_rest6,14.76604511,0,1,0,2490.0,0
order_medium_small_rest7,15.47158158,0,1,0,2535.0,0
order_medium_small_rest8,17.38595529,0,1,0,2490.0,0
order_medium_small_rest9,17.59561165,0,1,0,2535.0,0
